계좌,종목명,보유수량,매입가(원),어제종가(원),평가금액(원),수익(원),수익률(%),Ticker
9999,SK하이닉스,23,892304,2573000.0,59179000.0,38656008.0,188.35464146748194,000660
6536,SK하이닉스,18,1102505,2573000.0,46314000.0,26468910.0,133.37762640532242,000660
4715,한국항공우주,270,117362,148800.0,40176000.0,8488260.0,26.787205398681003,047810
4715,LIG디펜스앤에어로스페이스,8,474965,724000.0,5792000.0,1992280.0,52.43228448411988,079550
9999,ACE 글로벌반도체TOP4 Plus,33,60475,98365.0,3246045.0,1250370.0,62.653989251756926,446770
6536,TIGER 미국나스닥100,16,161440,203850.0,3261600.0,678560.0,26.26982160555005,133690
9999,TIGER 미국나스닥100,15,161460,203850.0,3057750.0,635850.0,26.254180602006688,133690
4715,TIGER 미국나스닥100,12,161358,203850.0,2446200.0,509904.0,26.333990257687873,133690
6536,두산로보틱스,1,62952,90500.0,90500.0,27548.0,43.760325327233446,454910
5477,한국항공우주,8,166500,148800.0,1190400.0,-141600.0,-10.63063063063063,047810
9999,한국항공우주,9,167166,148800.0,1339200.0,-165294.0,-10.98668389505043,047810
9999,LG씨엔에스,21,94600,80000.0,1680000.0,-306600.0,-15.433403805496829,064400
4715,삼성전자,30,341000,325500.0,9765000.0,-465000.0,-4.545454545454546,005930
9999,두산에너빌리티,53,96700,85900.0,4552700.0,-572400.0,-11.168562564632884,034020
6536,삼성SDI,7,605000,498500.0,3489500.0,-745500.0,-17.60330578512397,006400
4715,TIGER 삼성전자단일종목레버리지,400,23335,21355.0,8542000.0,-792000.0,-8.485108206556674,0195R0
9999,한화오션,65,124737,100200.0,6513000.0,-1594905.0,-19.670987758243346,042660
6536,TIGER 미국우주테크,1000,12600,10640.0,10640000.0,-1960000.0,-15.555555555555555,0183J0
6536,미래에셋증권,134,61500,43000.0,5762000.0,-2479000.0,-30.081300813008134,006800
6536,한국항공우주,230,164143,148800.0,34224000.0,-3528890.0,-9.347337382648057,047810
