market,account,name,quantity,buy_price,Ticker
kr,4715,삼성전자,30,"341,000",005930
kr,4715,TIGER 삼성전자단일종목레버리지,400,"23,335",0195R0
kr,4715,한국항공우주,270,"117,362",047810
kr,4715,LIG디펜스앤에어로스페이스,8,"474,965",079550
kr,4715,TIGER 미국나스닥100,12,"161,358",133690
kr,6536,SK하이닉스,18,"1,102,505",000660
kr,6536,삼성SDI,7,"605,000",006400
kr,6536,미래에셋증권,134,"61,500",006800
kr,6536,TIGER 미국우주테크,"1,000","12,600",0183J0
kr,6536,한국항공우주,230,"164,143",047810
kr,6536,TIGER 미국나스닥100,16,"161,440",133690
kr,6536,두산로보틱스,1,"62,952",454910
kr,5477,한국항공우주,8,"166,500",047810
kr,9999,SK하이닉스,23,"892,304",000660
kr,9999,두산에너빌리티,53,"96,700",034020
kr,9999,한화오션,65,"124,737",042660
kr,9999,한국항공우주,9,"167,166",047810
kr,9999,LG씨엔에스,21,"94,600",064400
kr,9999,TIGER 미국나스닥100,15,"161,460",133690
,9999,ACE 글로벌반도체TOP4 Plus,33,"60,475",446770
