market,account,name,quantity,buy_price,Ticker
US,4715,브로드컴,1,400.31,AVGO
US,4715,블룸 에너지,1,134.3,BE
US,4715,아이온큐,90,36.0636,IONQ
US,4715,프리미엄 고배당 JP모건 ETF,14,54.9878,JEPI
US,4715,엔비디아,59,214.6191,NVDA
US,4715,미국 배당주 슈왑 ETF,30,24.0333,SCHD
US,4715,미국 반도체 3배 디렉시온 ETF,81,185.7585,SOXL
US,4715,스페이스X,95,152.3508,SPCX
US,5477,메타 플랫폼스(페이스북),5,667.32,META
US,5477,마이크론 테크놀로지,13,"1,011",MU
US,5477,미국 반도체 인버스 3배 디렉시온 ETF,18,5.63,SOXS
US,9999,알파벳 A,59,335.3411,GOOGL
US,9999,마이크론 테크놀로지,10,"1,010",MU
US,9999,나스닥 100 인베스코 ETF,3,253.15,QQQM
US,9999,스페이스X,13,151.51,SPCX
US,9999,QQQ 레버리지 3배 프로셰어즈 ETF,20,21.845,TQQQ
US,6589,AST 스페이스모바일,4,120.1725,ASTS
US,6589,알파벳 A,5,310.18,GOOGL
US,6589,미국 반도체 인버스 3배 디렉시온 ETF,64,5.63,SOXS
,4597,스페이스X,5,151.15,SPCX
