account,name,quantity,buy_price,close_price,valuation,profit,profit_rate
4715,한국항공우주,200,106569,141900,28380000,7001900,32.85
4715,LIG디펜스앤에어로스페이스,43,474965,764000,32852000,12354816,60.49
4715,TIGER 미국나스닥100,12,161358,194530,2334360,397421,20.52
6536,SK하이닉스,18,1102505,2101000,37818000,17888624,90.14
6536,삼성SDI,7,605000,498500,3489500,-753628,-17.8
6536,미래에셋증권,134,61500,51100,6847400,-1409544,-17.1
6536,한국항공우주,203,165772,141900,28805700,-4913070,-14.6
6536,리노공업,50,101500,99800,4990000,-96480,-1.9
6536,동운아나텍,270,43927,37050,10003500,-1880277,-15.85
6536,TIGER 미국나스닥100,16,161440,194530,3112480,528600,20.46
6536,두산로보틱스,1,62952,109300,109300,46121,73.26
5477,한국항공우주,8,166500,141900,1135200,-199429,-14.97
9999,SK하이닉스,23,892304,2101000,48323000,27693045,134.94
9999,두산에너빌리티,53,96700,88600,4695800,-440150,-8.59
9999,한화오션,65,124737,104500,6792500,-1331254,-16.42
9999,한국항공우주,9,167166,141900,1277100,-230363,-15.31
9999,LG씨엔에스,21,94600,93000,1953000,-38085,-1.92
9999,TIGER 미국나스닥100,15,161460,194530,2917950,495260,20.45
9999,ACE 글로벌반도체TOP4 Plus,33,60475,88105,2907465,911070,45.65
