계좌,종목명,보유수량,매입가(원),어제종가(원),평가금액(원),수익(원),수익률(%),Ticker
9999,SK하이닉스,23,892304,2621000.0,60283000.0,39760008.0,193.73397407161684,000660
6536,SK하이닉스,18,1102505,2621000.0,47178000.0,27332910.0,137.73134815715122,000660
4715,한국항공우주,270,117362,143100.0,38637000.0,6949260.0,21.930437449941206,047810
4715,LIG디펜스앤에어로스페이스,8,474965,824000.0,6592000.0,2792280.0,73.48646742391544,079550
9999,ACE 글로벌반도체TOP4 Plus,33,60475,98325.0,3244725.0,1249050.0,62.58784621744522,446770
6536,TIGER 미국나스닥100,16,161440,201690.0,3227040.0,644000.0,24.931863230921707,133690
9999,TIGER 미국나스닥100,15,161460,201690.0,3025350.0,603450.0,24.91638795986622,133690
4715,TIGER 미국나스닥100,12,161358,201690.0,2420280.0,483984.0,24.995351950321645,133690
6536,두산로보틱스,1,62952,95000.0,95000.0,32048.0,50.9086287965434,454910
4715,TIGER 삼성전자단일종목레버리지,400,23335,23405.0,9362000.0,28000.0,0.2999785729590743,0195R0
4715,삼성전자,30,341000,340500.0,10215000.0,-15000.0,-0.1466275659824047,005930
5477,한국항공우주,8,166500,143100.0,1144800.0,-187200.0,-14.054054054054054,047810
9999,한국항공우주,9,167166,143100.0,1287900.0,-216594.0,-14.39646818132874,047810
9999,LG씨엔에스,21,94600,79300.0,1665300.0,-321300.0,-16.173361522198732,064400
9999,두산에너빌리티,53,96700,90600.0,4801800.0,-323300.0,-6.308169596690797,034020
6536,삼성SDI,7,605000,489000.0,3423000.0,-812000.0,-19.173553719008265,006400
9999,한화오션,65,124737,106000.0,6890000.0,-1217905.0,-15.021204614508926,042660
6536,TIGER 미국우주테크,1000,12600,10215.0,10215000.0,-2385000.0,-18.928571428571427,0183J0
6536,미래에셋증권,134,61500,41750.0,5594500.0,-2646500.0,-32.113821138211385,006800
6536,한국항공우주,230,164143,143100.0,32913000.0,-4839890.0,-12.81991921678049,047810
