계좌,종목명,보유수량,매입가(USD),어제종가(USD),평가금액(USD),수익(USD),수익률(%)
4715,브로드컴,1,400.31,380.1499938964844,380.1499938964844,-20.160006103515627,-5.036098549503041
4715,블룸 에너지,1,134.3,321.9800109863281,321.9800109863281,187.6800109863281,139.74684362347588
4715,아이온큐,90,36.0636,57.849998474121094,5206.499862670898,1960.7758626708983,60.41104735556376
4715,프리미엄 고배당 JP모건 ETF,14,54.9878,55.83000183105469,781.6200256347656,11.790825634765625,1.531615796694335
4715,엔비디아,59,214.6191,200.0399932861328,11802.359603881836,-860.1672961181642,-6.793014561083888
4715,미국 배당주 슈왑 ETF,30,24.0333,32.02000045776367,960.6000137329102,239.60101373291013,33.23180943841949
4715,미국 반도체 3배 디렉시온 ETF,71,178.7442,231.4199981689453,16430.819869995117,3739.9816699951166,29.46993422384911
4715,미국 반도체 인버스 3배 디렉시온 ETF,605,11.5058,4.039999961853027,2444.1999769210815,-4516.8090230789185,-64.88727457583977
5477,메타 플랫폼스(페이스북),5,667.32,562.2000122070312,2811.0000610351562,-525.599938964844,-15.752560659499009
5477,마이크론 테크놀로지,13,1011.0,1051.77001953125,13673.01025390625,530.01025390625,4.032642881429278
5477,미국 반도체 인버스 3배 디렉시온 ETF,18,5.63,4.039999961853027,72.71999931335449,-28.620000686645504,-28.24156373262829
9999,알파벳 A,59,335.3411,346.1300048828125,20421.670288085938,636.5453880859385,3.2172927454500857
9999,마이크론 테크놀로지,10,1010.0,1051.77001953125,10517.7001953125,417.7001953125,4.135645498143564
9999,나스닥 100 인베스코 ETF,3,253.15,293.8699951171875,881.6099853515625,122.15998535156248,16.08532297736026
9999,QQQ 레버리지 3배 프로셰어즈 ETF,20,21.845,74.44000244140625,1488.800048828125,1051.900048828125,240.76448817306596
6589,AST 스페이스모바일,4,120.1725,72.87000274658203,291.4800109863281,-189.20998901367187,-39.36216459956976
6589,알파벳 A,5,310.18,346.1300048828125,1730.6500244140625,179.75002441406247,11.590046064482717
6589,미국 반도체 인버스 3배 디렉시온 ETF,64,5.63,4.039999961853027,258.55999755859375,-101.76000244140624,-28.24156373262829
